event_id,timestamp,clip_id,zone,behavior_class,policy_rule_ref,event_description,severity,escalation_action,frame_number,created_at
9771173e-3885-4a1a-bb69-ca1fa0fda343,2026-06-28T16:33:01.208990,temp_0_te12.mp4,Walkway Zone,Safe Walkway Violation,Section 3.3.2,Video classified as 'Safe Walkway Violation' with 10/10 frames agreeing (avg confidence: 83.3%). Policy reference: Section 3.3.2.,HIGH,Real-time alert triggered + DB log,99,2026-06-28 11:33:01
eb1788b4-5149-4f99-9653-8bb8166c13f9,2026-06-23T14:39:57.190778,temp_1_te11.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 10/10 frames agreeing (avg confidence: 94.7%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,98,2026-06-23 09:39:57
afacc087-5038-43c2-8c97-ed9d6c94613c,2026-06-23T14:27:58.711339,temp_1_te11.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 10/10 frames agreeing (avg confidence: 94.7%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,98,2026-06-23 09:27:58
bcfb32dd-4c83-429d-9b6f-72350819f767,2026-06-23T14:17:41.179297,temp_1_te10.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 10/10 frames agreeing (avg confidence: 65.1%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,135,2026-06-23 09:17:41
f219f3a1-eb64-44e7-9d4e-3acd487ba8b0,2026-06-23T12:03:10.866075,temp_1_te11.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 10/10 frames agreeing (avg confidence: 94.7%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,98,2026-06-23 07:03:10
fd487548-700d-4885-a97f-e55468a329f9,2026-06-23T11:55:26.972081,temp_1_te10.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 10/10 frames agreeing (avg confidence: 65.1%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,135,2026-06-23 06:55:26
1263fa43-c635-4a86-9d73-bb510d14a906,2026-06-23T11:24:18.004420,3_te2.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.8%). Policy reference: Section 6.3.2.,MEDIUM,Logged to DB,137,2026-06-23 06:24:18
a9c873f1-12d7-4820-b78b-76e3d17131e3,2026-06-23T11:24:17.993087,3_te1.mp4,Forklift Zone,Carrying Overload with Forklift,Section 6.3.2,Video classified as 'Carrying Overload with Forklift' with 10/10 frames agreeing (avg confidence: 99.9%). Policy reference: Section 6.3.2.,MEDIUM,Logged to DB,125,2026-06-23 06:24:17
121377ee-c295-4ff4-bff9-cdc0bdd3fd15,2026-06-23T11:24:17.982830,1_te10.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 10/10 frames agreeing (avg confidence: 65.1%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,135,2026-06-23 06:24:17
a4d50dcc-404f-4211-a1b7-53bd5e2d9b1b,2026-06-23T11:24:17.971914,1_te1.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 5/10 frames agreeing (avg confidence: 66.2%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,210,2026-06-23 06:24:17
f4d36ad1-f334-48a9-ab2d-ad8c0d7c0ddf,2026-06-23T11:24:17.959556,0_te10.mp4,Equipment Zone,Unauthorized Intervention,Section 4.3.2,Video classified as 'Unauthorized Intervention' with 6/10 frames agreeing (avg confidence: 72.4%). Policy reference: Section 4.3.2.,MEDIUM,Logged to DB,86,2026-06-23 06:24:17
0a0a2c76-e6ac-4afb-bce8-fd013f8e1808,2026-06-23T01:06:25.124425,5_tr6.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 68.9%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,173,2026-06-22 20:06:25
93273c9d-f95d-4c17-81b0-62742418b06f,2026-06-23T01:06:25.106850,5_tr5.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 65.0%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,150,2026-06-22 20:06:25
ebb2de30-a9f3-4030-8e96-6657ad0ab3d8,2026-06-23T01:06:25.089550,5_tr18.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 68.3%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,130,2026-06-22 20:06:25
c7e8cf06-1a8c-4fac-83d2-133f9388a8ef,2026-06-23T01:06:25.072093,5_tr13.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 65.8%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,62,2026-06-22 20:06:25
598624f0-8ca6-469b-a5a8-ea13ef6031ef,2026-06-23T01:06:25.054663,5_tr12.mp4,Electrical Panel Zone,Opened Panel Cover,Section 5.2.2,Video classified as 'Opened Panel Cover' with 10/10 frames agreeing (avg confidence: 85.3%). Policy reference: Section 5.2.2.,HIGH,Real-time alert triggered + DB log,62,2026-06-22 20:06:25
